Date,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,y
2023-02-13-14:40:55,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,0.1,0.11,-0.445233961555406
2023-02-13-14:41:21,0,0,0,0,0,0,0,0,0,0,1,1.01706530062219
2023-02-13-14:41:30,0,0,0,0,0,0,0,0,0,1,0,1.01648937240271
2023-02-13-14:41:37,0,0,0,0,0,0,0,0,0,1,1,1.01268522826597
2023-02-13-14:41:49,0,0,0,0,0,0,0,0,1,0,0,-0.986099915627884
2023-02-13-14:43:20,0,0,0,0,0,0,0,0,1,0,1,-0.986675936444462
2023-02-13-14:43:27,0,0,0,0,0,0,0,0,1,1,1,-0.981959095455579
2023-02-13-14:43:35,0,0,0,0,0,0,0,1,0,1,1,1.0135168326712
2023-02-13-14:43:40,0,0,0,0,0,0,0,1,1,1,1,-0.988612213781919
2023-02-13-14:43:48,0,0,0,0,0,0,0,1,0,0,0,1.01265110899496
2023-02-13-14:43:54,0,0,0,0,0,0,1,0,0,0,0,1.01237002313285
2023-02-13-14:44:08,0,0,0,0,1,0,0,0,0,0,0,1.01926213232699
2023-02-13-14:44:17,0,0,0,0,0.5,0,0,0,0,0,0,1.01807113700543
2023-02-13-14:44:23,0,0,0,0,0.2,0,0,0,0,0,0,1.01918791401363
2023-02-13-14:44:29,0,0,0,0,0,0,0,0,0,0,0,1.01829946624719
2023-02-13-14:44:33,0,0,0,1,0,0,0,0,0,0,0,2.01423354584825
2023-02-13-14:44:45,0,0,1,1,0,0,0,0,0,0,0,2.01512144987682
2023-02-13-14:44:49,0,1,1,1,0,0,0,0,0,0,0,2.01527559558378
2023-02-13-14:44:52,1,1,1,1,0,0,0,0,0,0,0,1.42668790441964
2023-02-13-14:45:00,1,1,1,1,0,0,0,1,0,0,0,1.41878341071967
2023-02-13-14:45:11,0,0,0,0,0,0,0,1,0,0,0,1.01938228229426
2023-02-13-14:45:16,0,0,0,0,0,0,1,1,0,0,0,1.01544707533031
2023-02-13-14:45:24,0,0,0,0,0,0,0,0,1,0,0,-0.985101332452757
2023-02-13-14:45:29,1,0,0,0,0,0,0,0,1,0,0,-1.58260484557323
2023-02-13-14:45:34,1,1,0,0,0,0,0,0,1,0,0,-1.58129039371191
2023-02-13-14:45:39,1,1,1,0,0,0,0,0,1,0,0,-1.58393445691051
2023-02-13-14:45:44,1,1,1,1,0,0,0,0,1,0,0,-0.58220935923193
2023-02-13-14:45:54,1,1,1,0,0,0,0,0,1,0,0,-1.57497857668439
2023-02-13-14:45:58,1,1,1,1,0,0,0,0,1,0,0,-0.577512724687012
2023-02-13-14:46:11,1,1,1,1,0,0,0,0,0,0,0,1.42363388523423
2023-02-13-14:51:07,1,1,1,1,0,0,0,0,0,0,0,1.42518581862352
2023-02-13-14:51:20,1,0,0,1,0,0,0,1,0,1,1,1.41923594442369
2023-02-13-14:51:31,1,1,1,1,0,0,0,1,0,1,1,1.42077857385541
2023-02-13-14:51:36,1,1,1,1,1,0,0,1,0,1,1,1.41709709975407
2023-02-13-14:51:41,1,1,1,1,1,1,0,1,0,1,1,1.42036009636471
2023-02-13-14:51:47,1,1,1,1,1,1,1,1,0,1,1,1.12527756364494
2023-02-13-14:51:53,1,1,1,1,1,1,1,1,1,1,1,-0.881674076532526
2023-02-13-14:51:58,1,1,1,1,1,1,1,1,1,0,1,-0.879170949146232
2023-02-13-14:52:03,1,1,1,1,1,1,1,1,1,0,0,-0.882633613777641
